t,x
0,2.592508218348834e-10
1,1.1769537445848221e-09
2,3.623834393719747e-09
3,9.117970552229626e-09
4,1.7731109041161235e-08
5,2.7832355434039225e-08
6,3.853606240662359e-08
7,5.068685013146756e-08
8,6.488817340402479e-08
9,8.162853480754008e-08
10,1.019433276697953e-07
11,1.2516869845323655e-07
12,1.5040474776081678e-07
13,1.7725265346429393e-07
14,2.045937929973908e-07
15,2.3190704878804523e-07
16,2.5954440967980293e-07
17,2.889547269943236e-07
18,3.228125263269794e-07
19,3.6262093245953135e-07
20,4.0783052110960337e-07
21,4.5790093357323276e-07
22,5.12069106512762e-07
23,5.69619210744783e-07
24,6.324038183212126e-07
25,7.004095541440799e-07
26,7.719163495956548e-07
27,8.480484999389944e-07
28,9.277152127767269e-07
29,1.010189220454325e-06
30,1.0986830472773205e-06
31,1.1922212507756041e-06
32,1.2853795627206554e-06
33,1.3749719959913315e-06
34,1.4601951062639302e-06
35,1.5417901775566343e-06
36,1.6218588382849983e-06
37,1.7007062702563502e-06
38,1.777651392524644e-06
39,1.8544799093189395e-06
40,1.9323757313565476e-06
41,2.00901721232077e-06
42,2.0823972897916624e-06
43,2.154781836139917e-06
44,2.2337361532381857e-06
45,2.326003738313415e-06
46,2.4278750486780005e-06
47,2.533759030331505e-06
48,2.646175417590881e-06
49,2.7647944345032923e-06
50,2.883552563074323e-06
51,2.9980028662262717e-06
52,3.1068737286614004e-06
53,3.2102433432840084e-06
54,3.3073541596419804e-06
55,3.3992367924178787e-06
56,3.4901891654105247e-06
57,3.582849086893859e-06
58,3.6748378690485252e-06
59,3.763094004396878e-06
60,3.847184255724105e-06
61,3.9284881102416255e-06
62,4.009169127153075e-06
63,4.089905210919583e-06
64,4.169906606341486e-06
65,4.247168130544235e-06
66,4.320282055751754e-06
67,4.391027748494789e-06
68,4.46237998530321e-06
69,4.537880258983124e-06
70,4.618203290431628e-06
71,4.6991297485605625e-06
72,4.778224227526809e-06
73,4.85616986609442e-06
74,4.933229202270293e-06
75,5.0078415693489395e-06
76,5.078260548354215e-06
77,5.145752400727998e-06
78,5.212583790786658e-06
79,5.27979183092101e-06
80,5.347245933024837e-06
81,5.412640266081178e-06
82,5.472645980992088e-06
83,5.526262743125695e-06
84,5.575280603344621e-06
85,5.620645748879374e-06
86,5.662626013922276e-06
87,5.701759938466534e-06
88,5.737370239076705e-06
89,5.769276664457205e-06
90,5.797073936840297e-06
91,5.819472994031353e-06
92,5.836291993017431e-06
93,5.848147985919038e-06
94,5.8552570766590105e-06
95,5.857430389631796e-06
96,5.854966312725091e-06
97,5.848274792895975e-06
98,5.837690946864332e-06
99,5.823510258814781e-06
100,5.805766943912022e-06
101,5.78478833605915e-06
102,5.761348125697277e-06
103,5.738523095606186e-06
104,5.722300447131457e-06
105,5.715246837632747e-06
106,5.7130240489148805e-06
107,5.712284026924201e-06
108,5.714104829562183e-06
109,5.716819223853478e-06
110,5.717411242907312e-06
111,5.717000380739237e-06
112,5.719459324042015e-06
113,5.730620443700591e-06
114,5.753731189010444e-06
115,5.783566188002739e-06
116,5.814409814578129e-06
117,5.846740876459354e-06
118,5.879976133668394e-06
119,5.911171003776503e-06
120,5.938989554759049e-06
121,5.9635158755138126e-06
122,5.986260765577802e-06
123,6.0088712840666765e-06
124,6.030765148622171e-06
125,6.0515834586947785e-06
126,6.075092010992225e-06
127,6.1048016817703934e-06
128,6.13762320750122e-06
129,6.167243783581279e-06
130,6.190488159010997e-06
131,6.207785153399592e-06
132,6.2209307804127e-06
133,6.231412405917118e-06
134,6.239878641099357e-06
135,6.246576339232754e-06
136,6.251379740158731e-06
137,6.253490699864872e-06
138,6.253106676087165e-06
139,6.250914987046773e-06
140,6.248603301493642e-06
141,6.250430496857824e-06
142,6.256415114735402e-06
143,6.262177072589909e-06
144,6.266686997128782e-06
145,6.2698824571296215e-06
146,6.272051685418864e-06
147,6.278480848034847e-06
148,6.2929577130342235e-06
149,6.312757788712835e-06
150,6.333716200146932e-06
151,6.352250527269421e-06
152,6.366966577396507e-06
153,6.380903677666926e-06
154,6.396818522618946e-06
155,6.412952131270421e-06
156,6.4259900393244856e-06
157,6.435138085720201e-06
158,6.441164247831875e-06
159,6.4438606087478315e-06
160,6.4441859704211505e-06
161,6.444601236351331e-06
162,6.44485302379144e-06
163,6.443745864512942e-06
164,6.442765250274918e-06
165,6.442315293788384e-06
166,6.442752417438323e-06
167,6.446987959977827e-06
168,6.4539104155797e-06
169,6.45841687256695e-06
170,6.457883980177675e-06
171,6.453743073591904e-06
172,6.449934040569015e-06
173,6.449396730311682e-06
174,6.451255386757235e-06
175,6.452031290987012e-06
176,6.4491725190384044e-06
177,6.441960779061479e-06
178,6.431062417572623e-06
179,6.419543667878028e-06
180,6.410057989093158e-06
181,6.400691931849429e-06
182,6.388078432570536e-06
183,6.373711845998539e-06
184,6.364216447286602e-06
185,6.362371503100814e-06
186,6.364444965863199e-06
187,6.371117947149027e-06
188,6.389589342722631e-06
189,6.4231808345563434e-06
190,6.466885338752045e-06
191,6.512103361090698e-06
