,building_id,geo_level_1_id,geo_level_2_id,geo_level_3_id,count_floors_pre_eq,age,area_percentage,height_percentage,land_surface_condition,foundation_type,roof_type,ground_floor_type,other_floor_type,position,plan_configuration,has_superstructure_adobe_mud,has_superstructure_mud_mortar_stone,has_superstructure_stone_flag,has_superstructure_cement_mortar_stone,has_superstructure_mud_mortar_brick,has_superstructure_cement_mortar_brick,has_superstructure_timber,has_superstructure_bamboo,has_superstructure_rc_non_engineered,has_superstructure_rc_engineered,has_superstructure_other,legal_ownership_status,count_families,has_secondary_use,has_secondary_use_agriculture,has_secondary_use_hotel,has_secondary_use_rental,has_secondary_use_institution,has_secondary_use_school,has_secondary_use_industry,has_secondary_use_health_post,has_secondary_use_gov_office,has_secondary_use_use_police,has_secondary_use_other,damage_grade
0,190791,26,39,11440,1,45,10,2,t,h,q,f,j,s,d,0,0,0,0,1,0,0,0,0,0,0,v,0,0,0,0,0,0,0,0,0,0,0,0,2
1,205275,27,181,1421,4,40,10,11,t,r,n,f,q,t,d,1,0,0,0,1,0,1,0,1,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
2,390536,6,453,6430,3,25,7,6,t,r,n,f,q,t,d,1,1,0,0,0,0,0,0,0,0,0,v,1,1,1,0,0,0,0,0,0,0,0,0,3
3,830902,26,897,3044,2,40,6,6,t,r,n,f,q,s,d,0,1,0,1,0,0,0,0,0,0,0,r,1,0,0,0,0,0,0,0,0,0,0,0,2
4,465883,10,310,1144,2,35,11,4,t,r,q,f,q,t,d,0,1,0,0,0,0,1,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
5,743877,15,192,5704,2,120,9,4,n,r,q,f,q,s,d,1,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
6,300761,25,1368,10469,2,10,9,6,t,r,q,x,q,s,q,0,1,0,0,0,0,1,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
7,348838,25,889,446,3,5,6,7,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
8,678178,6,1287,10834,3,15,8,6,t,r,n,f,q,t,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
9,351397,17,263,5175,3,30,6,6,t,r,n,f,x,t,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
10,408494,17,1030,606,1,10,9,3,t,u,x,v,j,s,d,0,0,0,1,0,1,0,0,0,0,0,v,0,0,0,0,0,0,0,0,0,0,0,0,1
11,533004,25,779,10626,2,15,6,6,t,r,q,f,q,s,d,1,1,1,0,0,0,1,1,0,0,1,v,1,0,0,0,0,0,0,0,0,0,0,0,2
12,619862,20,492,3374,2,20,7,4,t,w,n,x,q,s,d,0,1,0,0,0,0,1,1,0,0,0,r,1,0,0,0,0,0,0,0,0,0,0,0,2
13,359950,16,595,10835,3,40,9,7,t,r,n,z,x,j,d,0,1,0,0,0,0,0,0,0,0,0,v,1,1,0,1,0,0,0,0,0,0,0,0,2
14,239991,8,463,5839,1,20,4,2,t,r,n,f,j,s,d,0,1,1,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
15,785094,4,72,5340,2,30,8,7,t,r,q,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
16,419565,10,151,7723,2,10,15,6,t,i,x,v,s,s,d,0,0,0,0,0,0,0,0,0,1,0,v,1,1,0,0,0,1,0,0,0,0,0,0,1
17,626067,5,1345,2715,2,5,11,5,t,r,n,f,q,s,u,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
18,823522,21,581,9896,3,40,6,7,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,2,0,0,0,0,0,0,0,0,0,0,0,3
19,713811,7,790,4839,3,45,18,6,t,r,q,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,1,0,1,0,0,0,0,0,0,0,0,2
20,294084,3,1006,2343,3,20,9,6,t,r,n,f,q,t,d,1,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
21,176945,13,777,5562,2,35,6,4,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
22,860060,23,879,3237,3,25,10,8,n,r,n,f,q,s,d,0,1,0,0,0,0,1,1,0,0,0,v,1,1,0,1,0,0,0,0,0,0,0,0,2
23,771686,10,661,8482,3,20,5,8,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
24,679251,8,501,10089,2,35,7,8,t,r,q,x,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,0,0,0,0,0,0,0,0,0,0,0,0,2
25,25590,10,1207,1733,1,40,4,3,t,r,q,f,j,t,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
26,870833,7,108,2029,2,65,9,5,t,r,n,f,q,s,d,0,1,0,0,0,0,1,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
27,576909,11,660,9780,2,25,7,5,t,r,n,f,q,s,d,1,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
28,198189,0,623,12499,3,15,6,6,n,r,n,f,x,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,1,1,0,0,0,0,0,0,0,0,0,3
29,964837,24,958,3932,2,0,8,4,n,u,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,0,0,0,0,0,0,0,0,0,0,0,0,1
30,601229,20,254,380,2,5,6,5,t,w,n,f,q,s,d,0,1,0,0,0,0,1,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
31,939306,13,1125,8985,3,85,8,6,n,u,q,x,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,0,0,0,0,0,0,0,0,0,0,0,0,1
32,956657,17,490,8143,2,30,7,4,o,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
33,398124,26,1081,4753,2,0,9,8,t,i,n,v,x,s,d,0,0,0,0,0,1,0,0,1,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
