,Description,Belts,Personal.Injury,Property.Damage,Commercial.License,Commercial.Vehicle,State,VehicleType,Year,Make,Model,Color,Charge,Contributed.To.Accident,Race,Gender,Driver.City,Driver.State,DL.State,Arrest.Type,Violation.Type
27716,PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2001.0,NISSAN,SENTRA,SILVER,16303c,No,BLACK,F,BOWIE,MD,MD,A - Marked Patrol,Citation
13964,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2005.0,NISS,TK,SILVER,21201a1,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
12161,FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,No,No,No,No,No,MD,02 - Automobile,2014.0,TOYOTA,SCION,GRAY,13411a,No,BLACK,M,GERMANTOWN,MD,MD,B - Unmarked Patrol,Citation
46069,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2004.0,TOYOTA,4S,SILVER,21201a1,No,ASIAN,F,GERMANTOWN,MD,MD,A - Marked Patrol,Warning
18589,DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,No,No,No,No,No,SC,02 - Automobile,2010.0,CHEVROLET,TAHOE,BLACK,21902a2,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
70272,WILLFULLY DRIVING MOTOR VEH AT SLOW SPEED IMPEDING NORMAL AND REASONABLE TRAFFIC MOVEMENT,No,No,No,No,No,MD,02 - Automobile,2013.0,NISSAN,SENTRA,BLACK,21804a,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
64862,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,VA,02 - Automobile,2016.0,HYUNDAI,ACCENT,RED,13409b,No,ASIAN,M,FAIRFAX,VA,VA,A - Marked Patrol,Warning
4491,DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2003.0,ACURA,MDX,RED,2111242d2,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
68916,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,05 - Light Duty Truck,2008.0,MRRZ,TK,BLUE DARK,21201a1,No,BLACK,F,CLARKSBURG,MD,MD,A - Marked Patrol,Warning
13284,DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,No,No,No,No,No,MD,02 - Automobile,2000.0,LEXUS,GS 300,BROWN,21902a2,No,BLACK,M,CLARKSBURG,MD,MD,A - Marked Patrol,Citation
64087,EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,No,No,No,No,No,MD,02 - Automobile,2018.0,HONDA,HRV,GRAY,218011,No,HISPANIC,F,SILVER SPRING,MD,MD,Q - Marked Laser,Warning
23788,STANDING PARKING VEH WITHIN 20 FEET OF CROSSWALK,No,No,No,No,No,MD,03 - Station Wagon,2004.0,TOYOTA,SIENNA,BLUE,211003n,No,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
61432,DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,No,No,No,No,No,MD,02 - Automobile,2016.0,FORD,MUSTANG,BLACK,21204d,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
19488,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,1996.0,ACURA,2S,GRAY,13401h,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
35643,TAG LIGHTS,No,No,No,No,No,MD,02 - Automobile,2017.0,TOYT,4S,BLACK,65,No,BLACK,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,SERO
37641,DRIVER FAIL TO STOP AT STEADY CIRCULAR RED SIGNAL,No,No,No,No,No,MD,02 - Automobile,2004.0,NISSAN,SENTRA,BRONZE,21202h1,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
20020,FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,No,No,No,No,No,MD,02 - Automobile,2007.0,HONDA,CIVIC,WHITE,21801b,Yes,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
5675,EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,No,No,No,No,No,MD,03 - Station Wagon,2005.0,FORD,FOCUS,SILVER,218011,No,WHITE,F,SILVER SPRING,MD,MD,Q - Marked Laser,Citation
49534,FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH,No,No,No,No,No,MD,02 - Automobile,1999.0,CHEVY,MONTE CARLO,BLACK,21405e1,No,HISPANIC,M,KENSINGTON,MD,MD,A - Marked Patrol,Warning
45536,FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,No,No,No,No,No,MD,02 - Automobile,2007.0,HOND,ODYSSEY,SILVER,16116a,No,OTHER,F,GERMANTOWN,MD,MD,A - Marked Patrol,Warning
50047,FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,No,No,No,No,No,MD,02 - Automobile,2006.0,NISSAN,SENTRA,WHITE,22226a,No,HISPANIC,F,TAKOMA PARK,MD,MD,A - Marked Patrol,Warning
55638,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,05 - Light Duty Truck,2004.0,GMC,TK,GRAY,21201a1,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
3987,EXCEEDING MAXIMUM SPEED 74 MPH IN A POSTED 55 MPH ZONE,No,No,No,No,No,WV,02 - Automobile,2012.0,CHRYSLER,4S,SILVER,218011,No,HISPANIC,M,SHEPHERDSTOWN,WV,WV,B - Unmarked Patrol,Citation
51330,FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,No,No,No,No,No,MD,02 - Automobile,2007.0,TOYT,4S,BEIGE,22226a,No,OTHER,M,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
33478,Stop Lights,No,No,No,No,No,MD,05 - Light Duty Truck,1995.0,TOYT,T100,RED,64,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,SERO
48600,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,03 - Station Wagon,2010.0,TOYOTA,4 RUNNER,BLACK,13409b,No,ASIAN,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
21918,EXCEEDING MAXIMUM SPEED 34 MPH IN A POSTED 25 MPH ZONE,No,No,No,No,No,VA,02 - Automobile,2012.0,FORD,FIESTA,BLUE,218011,No,WHITE,F,ROCKVILLE,MD,VA,Q - Marked Laser,Citation
56143,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2010.0,TOYOTA,PRIUS,BLUE,13409b,No,OTHER,M,DERWOOD,MD,MD,A - Marked Patrol,Warning
5791,DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,No,No,MD,02 - Automobile,1998.0,HONDA,CIVIC,GREEN,21707a,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
30977,STOPPING VEH ON CROSSWALK,No,No,No,No,No,MD,02 - Automobile,2013.0,VOLKSWAGEN,JETTA,BLACK,211003e,No,BLACK,M,COLLEGE PARK,MD,MD,A - Marked Patrol,Citation
51098,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2007.0,VOLK,BUG,GRAY,13409b,No,BLACK,F,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,Warning
8155,DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2013.0,BUICK,4DOOR,BLACK,16101a1,No,BLACK,M,WASHINGTON,DC,MD,A - Marked Patrol,Citation
45444,DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,VA,02 - Automobile,2013.0,CHEVROLET,IMPALA,WHITE,2111242d2,No,BLACK,M,FAIRFAX,VA,OK,A - Marked Patrol,Warning
38043,DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,No,No,No,No,No,MD,02 - Automobile,2006.0,HOND,CAMRY,BLUE,22204f,No,WHITE,M,TAKOMA PARK,MD,MD,A - Marked Patrol,Warning
33832,STOP LIGHTS,No,No,No,No,No,MD,05 - Light Duty Truck,2006.0,CHEV,TRK,WHITE,64,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,SERO
1214,DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,No,No,MD,02 - Automobile,2013.0,MERCEDES,C63,BLACK,21707a,No,WHITE,M,POTOMAC,MD,MD,A - Marked Patrol,Citation
33224,Turn Signals,No,No,No,No,No,MD,02 - Automobile,2003.0,FORD,EPLORER,SILVER,71,No,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,SERO
43184,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2001.0,NISS,4S,GREEN,21201a1,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
68137,DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,No,No,No,No,No,MD,02 - Automobile,2007.0,TOYOTA,HIGHLANDER,SILVER,21202h1,No,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,Warning
45328,DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,No,No,No,No,No,MD,02 - Automobile,2013.0,FORD,4S,BLACK,21204d,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
5486,DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,No,No,No,No,No,MD,02 - Automobile,1999.0,CHRYSLER,300,WHITE,21202h2,No,BLACK,F,SILVER SPRING,MD,DC,A - Marked Patrol,Citation
64944,DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,No,No,No,No,No,MD,02 - Automobile,2014.0,SUB,4DOOR,WHITE,21309d,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
17247,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106,No,No,No,No,No,MD,02 - Automobile,2004.0,HONDA,CRV,BLACK,16303h,No,WHITE,F,FREDERICK,MD,MD,Q - Marked Laser,Citation
4910,DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,MD,02 - Automobile,2000.0,ACURA,INTEGRA,SILVER,13411f,No,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
60720,LEFT REAR TURN SIGNAL RIGHT REAR CLEARANCE LIGHT RIGHT REAR MARKER LIGHT INOPERATIVE,No,No,No,No,Yes,MD,06 - Heavy Duty Truck,1999.0,CHEV,3500 TK,WHITE,113939,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
19166,POSSESSING SUSPENDED LIC,No,No,No,No,No,MD,02 - Automobile,2001.0,DODGE,DURANGO,GREEN,16301j,No,BLACK,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
48803,DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2013.0,TOYOTA,4 DOOR,WHITE,2111242d2,No,WHITE,F,BETHESDA,MD,MD,L - Motorcycle,Warning
5988,DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,MD,02 - Automobile,2012.0,TOYOTA,CAMRY,RED,13411f,No,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
25551,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,03 - Station Wagon,2010.0,TOYOTA,4RUNNER,BLACK,13401h,No,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
52902,FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM FOREIGN MATERIALS,No,No,No,No,No,MD,02 - Automobile,2013.0,KIA,OPTIMA,BLACK,13411c1,No,WHITE,M,SILVER SPRING,MD,DC,A - Marked Patrol,Warning
48847,FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH,No,No,No,No,No,MD,02 - Automobile,2004.0,HYUN,TIBURON,WHITE,22203b,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
26272,FAILURE VEH TO YIELD INTERSECTION RIGHTOFWAY TO ANOTHER VEH,No,No,No,No,No,MD,03 - Station Wagon,2006.0,CHRYSLER,TOWNCOUNTRY,SILVER,21401,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,Citation
17412,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2004.0,TOYOTA,SOLARA,SILVER,13409b,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
27353,DRIVING MOTOR VEH ON HWY WEARING EARPLUGS IN BOTH EARS,Yes,No,No,No,No,MD,02 - Automobile,2001.0,HONDA,CIVIC,,211120a,No,BLACK,M,RIVERDALE,MD,MD,A - Marked Patrol,Citation
33230,GLASS,No,No,No,No,No,MD,02 - Automobile,1998.0,CHEV,VN,WHITE,61,No,HISPANIC,M,OLNEY,MD,MD,Q - Marked Laser,SERO
9474,PEDESTRIAN FAIL TO OBEY UPRAISED HAND SIGNAL,No,No,No,No,No,XX,29 - Unknown,,,,,21203c,No,WHITE,F,NEW CARROLLTON,MD,MD,A - Marked Patrol,Citation
