iter	Passed	Remaining
0	2	2534
1	5	2323
2	7	2197
3	11	2622
4	15	2693
5	24	3576
6	26	3383
7	33	3745
8	36	3600
9	41	3692
10	44	3579
11	47	3497
12	50	3434
13	52	3352
14	55	3282
15	58	3220
16	60	3167
17	63	3107
18	66	3062
19	68	3003
20	70	2965
21	73	2918
22	75	2895
23	78	2862
24	80	2825
25	83	2810
26	86	2791
27	89	2777
28	95	2874
29	98	2852
30	102	2864
31	104	2844
32	107	2816
33	109	2794
34	112	2779
35	115	2779
36	120	2806
37	123	2808
38	126	2792
39	129	2784
40	132	2770
41	135	2771
42	138	2751
43	140	2733
44	143	2733
45	146	2724
46	149	2716
47	152	2708
48	155	2694
49	157	2674
50	160	2671
51	164	2677
52	166	2662
53	169	2655
54	172	2657
55	176	2660
56	179	2648
57	182	2654
58	187	2667
59	191	2677
60	194	2669
61	197	2670
62	202	2692
63	206	2701
64	209	2691
65	213	2699
66	216	2696
67	219	2686
68	227	2738
69	229	2726
70	233	2722
71	237	2730
72	245	2776
73	249	2786
74	252	2782
75	256	2777
76	258	2761
77	261	2757
78	266	2771
79	269	2757
80	273	2765
81	277	2771
82	281	2771
83	284	2767
84	288	2762
85	291	2757
86	294	2755
87	298	2751
88	301	2746
89	304	2742
90	318	2829
91	321	2822
92	324	2812
93	326	2802
94	330	2797
95	333	2790
96	336	2786
97	339	2777
98	341	2765
99	345	2766
100	349	2762
101	351	2751
102	355	2748
103	358	2740
104	360	2727
105	362	2715
106	364	2703
107	369	2709
108	373	2707
109	376	2703
110	380	2703
111	383	2699
112	387	2696
113	390	2690
114	393	2683
115	395	2674
116	397	2663
117	400	2653
118	403	2647
119	407	2645
120	411	2646
121	413	2635
122	415	2623
123	417	2612
124	419	2601
125	421	2589
126	423	2579
127	425	2568
128	428	2560
129	431	2553
130	433	2542
131	435	2534
132	437	2524
133	439	2515
134	442	2505
135	444	2497
136	446	2488
137	449	2479
138	451	2470
139	452	2457
140	454	2449
141	457	2440
142	459	2430
143	461	2421
144	463	2414
145	466	2407
146	468	2399
147	470	2391
148	472	2382
149	474	2373
150	476	2365
151	478	2357
152	481	2349
153	483	2342
154	485	2334
155	487	2326
156	489	2318
157	492	2311
158	494	2303
159	496	2295
160	498	2287
161	500	2280
162	502	2272
163	504	2264
164	506	2257
165	508	2249
166	510	2242
167	513	2235
168	515	2229
169	517	2222
170	519	2215
171	521	2209
172	523	2201
173	526	2195
174	528	2188
175	530	2181
176	532	2174
177	534	2168
178	536	2161
179	538	2154
180	540	2147
181	542	2141
182	544	2135
183	547	2128
184	549	2122
185	551	2115
186	553	2109
187	555	2103
188	557	2097
189	559	2090
190	561	2085
191	563	2078
192	565	2072
193	567	2066
194	570	2062
195	572	2056
196	574	2050
197	576	2045
198	579	2039
199	581	2033
200	583	2027
201	585	2021
202	587	2016
203	589	2010
204	591	2006
205	593	2000
206	595	1995
207	597	1989
208	600	1984
209	602	1978
